a little,অল্প-স্বল্প
non rabbinic,অ রব্বি
non racial,অ বর্ণবাদী
non racially,অ বর্ণবাদী
non radical,অ র্যাডিকেল
non random,অ র্যান্ডম
non ratable,অ পুরকরযোগ্য
non rateable,অ-ধারণের যোগ্য
non rated,অ রেট
non rationalization,অ যৌক্তিকীকরণ
non reactor,অ চুল্লী
non readability,অ পাঠযোগ্যতা
non readable,অ পাঠযোগ্য
non reader,অ পাঠক
non readers,অ পাঠকদের
non realistic,অ বাস্তবসম্মত
non realization,অ আদায়
non receipt,অ প্রাপ্তি
non recessive,অ প্রচ্ছন্ন
non reclaimable,অ সংশোধনযোগ্য
non reclamation,অ পুনরুদ্ধার
non recluse,অ নির্জনবাসী
non recognition,অ স্বীকৃতি
non recoil,অ পশ্চাদপসরণ
non reconcilability,অ পুনঃসংগতিস্থাপন
non recovery,অ পুনরুদ্ধার
non recuperative,অ আরোগ্যলাভের
non recurrent,অ পৌনঃপুনিক
non recurring,অ আবর্তক
non redemption,অ দায়মোচন
non reduced,অ কমে
non reference,অ রেফারেন্স
non refillable,অ ভর্তি
non reflective,অ প্রতিফলিত
non refundable,অফেরতযোগ্য
non refutation,অ অপ্রমাণ
non regenerative,অ সঞ্জীবনী
non regimental,অ রেজিমেন্টাল
non registered,অ নিবন্ধিত
non regression,অ নির্ভরণ
non regressive,অ পশ্চাদমুখী
non reinstatement,অ পুনর্বহাল
non rejoinder,অ সমুচিত জবাব
non relational,অ রিলেশনাল
non relative,অ আপেক্ষিক
non relaxation,অ শিথিলকরণ
non release,অ মুক্তি
non reliance,অ নির্ভরতা
non relieving,অ নাশক
non religious,অধর্মীয়
non religiousness,অ ধর্মপ্রীতি
non remediable,অ চিকিত্সাযোগ্য
non remedy,অ প্রতিকার
non remembrance,অ স্মরণ
non remission,অ মওকুফ
non renewable,অ নবায়নযোগ্য
non repairable,অ মেরামত করা যায় এমন
non repatriable,অ পুনঃপ্রেরণযোগ্য
non repatriation,অ প্রত্যাবাসন
non repetition,অ পুনরাবৃত্তি
non replaceable,অ পরিবর্তনযোগ্য
non replicate,অ প্রতিলিপি
non replication,অ রেপ্লিকেশন
non representation,অ উপস্থাপনা
non repressive,অ দমনমূলক
non reprisal,অ প্রতিহিংসামূলকভাবে
non reproductive,অ প্রজনন
non repudiation,অ অস্বীকৃতি
non reputable,অ নামকরা
non reservation,অ রিজার্ভেশন
non reserve,অ রিজার্ভ
non resident,অনাবাসিক
non residential,অ আবাসিক
non residents,অ বাসিন্দাদের
non resilient,অ প্রাণবন্ত
non resistance,অ প্রতিরোধের
non resolution,অ রেজল্যুশন
non restoration,অ পুন
non restriction,অ সীমাবদ্ধতা
non retarded,অ প্রতিবন্ধী
non retentive,অ স্মরণক্ষম
non retinal,অ রেটিনা
non retirement,অ অবসর
non retrenchment,অ ব্যয়সংকোচ
non returnable,অ ফেরতযোগ্য
non revealing,অ প্রকাশ
non revelation,অ উদ্ঘাটন
non reversibility,অ দ্বিমুখিতা
non reversion,অ রিভারশন
non revolutionary,অ বিপ্লবী
non revolving,অ ঘূর্ণী
non rhyme,অ ছড়া
non rigid,অ অনমনীয়
non rigidity,অ অনমনীয়তা
non riparian,অ তীরবর্তী
non rival,অপ্রতিদ্বন্দ্বী
non romanticism,অ রোমান্টিকতা
non rotating,অ আবর্তনের
non routine,অ রুটিন
non rubber,অ রাবার
non ruinous,অ ধ্বংসাত্মক
non ruling,অ ক্ষমতাসীন
non run,অ রান
non rupture,অ বিদারণ
non sacrificial,অ বলির
non sacrificing,অ উৎসর্গ
non sacrilegious,অ কলুষিতাকারী
non salaried,অ বেতনভোগী
non saleable,অ বিক্রেয়
non saline,অ নোনা
non salinity,অ লবণাক্ততা
non sanctioned,অ মঞ্জুর
non saturation,অ সম্পৃক্তি
non saving,অ বাঁচান
non scalding,অ বুকফাটা
non scaling,অ স্কেলিং
non schooling,অ স্কুলে
non scientific,অ বৈজ্ঞানিক
non scratching,অ চুলকানো
non sculptural,অ ভাস্কর্য
non seasonal,অ মৌসুমী
non seclusion,অ নির্জনতা
non secretion,অ লুকাইয়া
non secretive,অ গোপন
non secular,অ ধর্মনিরপেক্ষ
non seditious,অ রাষ্ট্রবিরোধী
non segregated,অ পৃথকীকৃত
non seismic,অ সিসমিক
non seizure,অ বাজেয়াপ্ত
non senatorial,অ সেনেট্ সভ্য
non sensuality,অ যৌনক্ষুধা চরিতার্থ
non sentence,অ কারাদণ্ড
non sententious,অ অর্থপূর্ন
non sequential,অ অনুক্রমিক
non sequitur,অযৌক্তিক সিদ্ধান্ত
non serious,অ গুরুতর
non servile,অ পরিশ্রমের
non setting,অ সেটিং
non severity,অ তীব্রতা
non shatter,অ চূর্ণবিচূর্ণ
non shedding,অ শেডিং
non shrinking,অ মাপে
non sibilant,অ ধ্বনাত্মক
non siccative,অ শুষ্ককারী
non signatory,অ স্বাক্ষরকারী
non significative,অ নির্দেশক
non silicate,অ সিলিকেট
non similarity,অ সাদৃশ্য
non similitude,অ উপমা
non simulated,অ সিমুলেট
non simulation,অ সিমুলেশন
non singing,অ গাওয়া
non sitting,অ বসার
non skeletal,অ কঙ্কাল
non skid,অ নিরোধী
non slip,অ স্লিপ
non smelling,অ ওষুধের
non smoker,অ ধূমপায়ী
non smokers,অ ধূমপায়ীদের
non sociological,অ সমাজতাত্ত্বিক
non sonorous,অ গমগমে
non spatial,অ স্থানিক
non speaker,অ স্পিকার
non speaking,অ ভাষী
non specialist,অ বিশেষজ্ঞ
non specialists,অ বিশেষজ্ঞদের
non specialized,অ বিশেষ
non specially,অ বিশেষভাবে
non specification,অ স্পেসিফিকেশন
non specious,অ ন্যায্য
non spherical,অ বর্তুল
non spill,অ বিষ্ফোরণের
non spinal,অ মেরুদন্ডে
non spiritual,অ আধ্যাত্মিক
non spirituality,অ আধ্যাত্মিকতা
non spiritually,অ আধ্যাত্মিক
non sporting,অ ক্রীড়া
non spousal,অ ডিরেক্টরী কন্ট্রল ব্লক
non staining,দাগ পরে না
non standard,অ মান
non starter,অ স্টার্টার
non starting,অ প্রারম্ভিক
non static,অ স্ট্যাটিক
non statistical,অ পরিসংখ্যানগত
non stellar,অ নাক্ষত্র
non sterility,অ বন্ধ্যাত্ব
non stick,অ লাঠি
non sticky,অ চটচটে
non stimulating,অ উদ্দীপনামূলক
non stimulation,অ উদ্দীপনা
non stoical,অ আত্মসংযমী
non stop,একটানা
non stratified,অ স্তরীভূত
non stress,অ চাপ
non striker,অ স্ট্রাইকার
non studious,অ পড়ুয়া
non subconsciously,অ অবচেতনভাবে
non submission,অ জমা
non subscription,অ সাবস্ক্রিপশন
non subsidiary,অ সাবসিডিয়ারি
non subsiding,অ অবনমিত
non substituted,অ প্রতিস্থাপিত
non subversion,অ বৈধরূপে প্রতিষ্ঠিত সরকারকে উত্খাত
non subversive,অ নাশকতামূলক
non succession,অ উত্তরাধিকার
non succor,অ আশ্রয়
non succour,অ আশ্রয়
non sufferance,অ যন্ত্রণাদিভোগ
non suggestible,অ সন্মোহনসাধ্য
non suiting,অ প্রযোজ্য
non sulfur,অ সালফার
non supervision,অ তত্ত্বাবধানে
non support,অ সমর্থন
non supporter,অ সমর্থক
non suppressed,অ চাপা
non surgically,অ অস্ত্রোপচারের
non survival,অ বেঁচে
non survivor,অ ঊর্দ্ধতন
non susceptibility,অ প্রবণতা
non susceptive,অ গ্রহণের বা ধারণে সক্ষম
non suspensive,অ অনির্দিষ্ট
non swearer,অ লোক মুখ খারাপ
non swearing,অ শপথ
non swimmer,অ সাঁতারু
non symbolic,অ প্রতীকী
non sync,অ সিঙ্ক
non synoptic,অ সারসংক্ষেপিত
non synthetic,অ সিন্থেটিক
non system,অ সিস্টেম
non tabular,অ ট্যাবুলার
non tactical,অ কৌশলী
non taxable,করমুক্ত
non technical,অ প্রযুক্তিগত
non telegraphic,অ টেলিগ্রাফিক
non telephonic,অ টেলিফোনে
non tempered,অ পোড়
non tenant,অ ভাড়াটিয়া
non tentative,অ পরীক্ষামূলক
non tentatively,অ অনিশ্চিতভাবে
non tenure,অ মেয়াদ
non testamentary,অ উইল
non testing,অ টেস্টিং
non textual,অ টেক্সচুয়াল
non theatrical,অ থিয়েটারি
non thematic,অ বিষয়ভিত্তিক
non theocratic,অ ঐশিক
non theoretical,অ তাত্ত্বিক
non therapeutic,অ থেরাপিউটিক
non thermal,অ তাপ
non thermoplastic,অ তাপপ্রয়োগে
non threaded,অ থ্রেডেড
non timbered,অ কেঠো
non tinted,অ রঙিন
non title,অ শিরোনাম
non tolerance,অ সহনশীলতা
non tolerant,অ সহিষ্ণু
non tolerated,অ বরদাশত
non tortious,অ ক্ষতিকারক
non tortuous,অ অসরল
non toxic,অ বিষাক্ত
non tractable,অ নম্র
non trading,অ ট্রেডিং
non traditional,অ প্রথাগত
non tragedy,অ ট্র্যাজেডি
non tragic,অ দুঃখজনক
non trailing,অ চিহ্ন
non transcription,অ ট্রান্সক্রিপশন
non transferable,অ হস্তান্তরযোগ্য
non transference,অ পরিবর্তনও
non transformation,অ রূপান্তর
non transgression,অ অধর্ম
non transitional,অ পরিবর্তনকালীন
non transitory,অ অনিত্য
non transparent,অ স্বচ্ছ
non traveler,অ পর্যটক
non traveling,অ ঘুরাঘুরি
non traveller,অ পর্যটক
non travelling,অ ঘুরাঘুরি
non treated,অ চিকিত্সা
non treaty,অ চুক্তি
non trial,অ ট্রায়াল
non truancy,অ কর্তব্যচ্যুতি
non truant,অ ভবঘুরে
non trust,অ ট্রাস্ট
non tubercular,অ গুটিকাযুক্ত
non tumultuous,অ কোলাহলপূর্ণ
non turbulent,অ অশান্ত
non tutorial,অ টিউটোরিয়াল
non typographical,অ বানান
non tyrannous,অ পরপীড়ক
non ubiquitously,অ রকমভাবে
non undergraduate,অ স্নাতক
non understanding,অ বুঝতে
non undulant,অ তরঙ্গায়িত
non undulate,অ ঢেউ খেলানো
non undulating,অ তরঙ্গায়িত
non unified,অ ইউনিফাইড
non unionist,অ ইউনিয়ন
non uniqueness,অ স্বতন্ত্রতা
non universally,অ সার্বজনীনভাবে
non uprightness,অ সরলতায়
non urban,অ শহুরে
non urgently,অ তারাতারি
non use,অ ব্যবহার
non user,অ ব্যবহারকারী
non uterine,অ জরায়ুজ
non utility,অ ইউটিলিটি
non vacantly,অ উদাসভাবে
non vacillating,অ দোলায়মান
non vacillation,অ দোদুল্যমানতা
non vacuum,অ ভ্যাকুয়াম
non validation,অ বৈধতা
non valuable,অ মূল্যবান
non valuation,অ মূল্যনির্ধারণ
non valve,অ ভালভ
non vanishing,অ ভ্যানিশিং
non variable,অ পরিবর্তনশীল
non variance,অ ভ্যারিয়েন্স
non variation,অ প্রকরণ
non variety,অ বিভিন্ন
non vegetable,অ উদ্ভিজ্জ
non vegetarian,মাংসাশি
non vehement,অ আবেগশালী
non venomous,অ বিষধর
non verbosity,অ ভার্বোসিটি
non verifiable,অ যাচাইযোগ্য
non verification,অ যাচাইকরণ
non versatility,অ বহুমুখিতা
non vexatious,অ হয়রানিমূলক
non viability,অ কার্যকরতা
non vicarious,অ পরার্থ
non vigilance,অ সতর্কতার দরুণ
non vigilant,অ সতর্ক
non vindicable,অ সমর্থনীয়
non vintage,অ মদ
non violation,অ লঙ্ঘন
non virile,অ কর্মঠ
non virulent,অ উৎকট
non visibility,অ দৃশ্যমানতা
non visible,অ তাদের এক্সেস
non vitiation,অ দূষিতকরণ
non vitreous,অ কাচময়
non vituperative,অ নিন্দাপূর্ণ
non vocalic,অ স্বরধ্বনি
non voice,অ ভয়েস
non volatile,অ উদ্বায়ী
non volcanic,অ আগ্নেয়
non volubility,অ বাচালতা
non voluntary,অ স্বেচ্ছাসেবী
non voting,অ ভোটিং
non waiver,অ দাবিত্যাগ
non walking,অ হেঁটে
non wasting,অ নাশক
non western,অ পশ্চিমা
non white,অ সাদা
non whites,অ সাদা
non working,অ পরিশ্রমী
non yielding,অ ফলনশীল
non zealous,অ উদ্যোগী
non-cash expense,অ নগদ টাকা ব্যয়
nonce word,এইবারের মতো শব্দ
noncommissioned officer,বিনা সনঁদে নিযুক্ত অফিসার
nonconformist locally,প্রচলবিরোধী স্থানীয়ভাবে
none but,একমাত্র
none-gazetted staff,অঘোষিত কর্মচারী
non-flowering plant,অ সপুষ্পক উদ্ভিদের
nongovernmental organization,বেসরকারী প্রতিষ্ঠান
non-ionic detergent,অ আয়নের ডিটারজেন্ট
nonlinear correlation,অরৈখিক কোরিলেশন
nonlinear distortion,অরৈখিক বিকৃতি
nonlinear system,অরৈখিক ব্যবস্থা
nonmalignant neoplasm,অহিংস কোষসমূহের
nonmalignant tumor,অহিংস টিউমার
nonmalignant tumour,অহিংস টিউমার
non-market economy,অ বাজার অর্থনীতি
non-partisan approach,নির্দলীয় পদ্ধতির
nonprofit making,অলাভজনক নির্মানের
nonprofit organization,অলাভজনক প্রতিষ্ঠান
nonsense rhymes,আবোলতাবোল
nonsense verse,আজগুবি ছড়া
non-standard speech,অ মান বক্তৃতা
nonstop flight,ননস্টপ ফ্লাইট
nontextual matter,অপাঠ্যের ব্যাপার
non-vegetarian food,আমিষ
nonverbal intelligence,জানানোর গোয়েন্দা
nonviolent resistance,অহিংস প্রতিরোধের
non-volatile storage,অনুদ্বায়ী স্টোরেজ
nook shaft,আনাচে খাদ
nor yet,ও না
norfolk island,নরফোক দ্বীপ
norfolk jacket,জামাবিশেষ
norfolk terrier,নরফোক কুকুরবিশেষ
norfolk wherry,নরফোক পানসি
normal condition,স্বাভাবিক অবস্থায়
normal course,স্বাভাবিক
normal curve,স্বাভাবিক বক্ররেখা
normal distribution,সাধারণ বিতরণ
normal dwarf,স্বাভাবিক বামন
normal person,স্বভাবী
normal prices,স্বাভাবিক দাম
normal school,শিক্ষকদিগকে শিক্ষণকার্য শেখানর বিদ্যালয়
normal section,লম্বচ্ছেদ
normal state,স্বাভাবিক অবস্থায়
normal temperature,স্বাভাবিক তাপমাত্রা
norman conquest,নর্মান বশীকরণ
norman rockwell,নর্মান রকওয়েল
norse deity,নর্স দেবতা
norse mythology,নর্স পুরাণ
north africa,উত্তর আফ্রিকা
north african,উত্তর আফ্রিকার
north america,উত্তর আমেরিকা
north american,উত্তর আমেরিকা
north atlantic,উত্তর আটলান্টিক
north borneo,উত্তর বোর্নিও
north carolina,উত্তর ক্যারোলিনা
north channel,উত্তর চ্যানেল
north country,দেশের উত্তর
north dakota,উত্তর ডাকোটা
north dravidian,উত্তর দ্রাবিড়
north germanic,জার্মানিক উত্তর
north island,উত্তর দ্বীপ
north korea,উত্তর কোরিয়া
north light,সুমেরু প্রভা
north mark,উত্তর চিহ্ন
north of,উত্তরে
north pacific,উত্তর প্রশান্ত
north peak,উত্তর শিখর
north pole,উত্তর মেরু
north sea,উত্তর সাগর
north shore,উত্তর তীরে
north side,উত্তর দিক
north star,ধ্রুবতারা
north vietnam,উত্তর ভিয়েতনাম
north vietnamese,ভিয়েতনামি
north wind,উত্তরে হাওয়া
north yorkshire,উত্তর ইয়র্কশায়ার
northerly wind,উত্তুরে বাতাসের
northern alliance,উত্তরাঞ্চলীয় জোট
northern baptist,উত্তরাঞ্চলীয় ব্যাপটিস্ট
northern europe,উত্তর ইউরোপ
northern hemisphere,উত্তর গোলার্ধ
northern ireland,উত্তর আয়ারল্যান্ড
northern lights,সুমেরু প্রভা
northern lobster,উত্তর গলদা চিংড়ি
northern mammoth,উত্তরাঞ্চলীয় সুবৃহৎ
northern marianas,উত্তর মেরিয়ানা
northern pike,উত্তর পাইক
northern rhodesia,উত্তর রোডেশিয়া
northern shrike,উত্তরাঞ্চলীয় শ্রাইক্
northern snakehead,উত্তর টাকি
northern spy,উত্তরাঞ্চলীয় গুপ্তচর
northern territory,উত্তরের রাজত্ব
northwest passage,উত্তর পশ্চিম যাযাবর
northwest territories,উত্তর পশ্চিম অঞ্চল
northwest wind,উত্তরপশ্চিমাঞ্চলে বায়ুর
northwesterly wind,উত্তরপশ্চিম বাতাসের
norway lobster,নরওয়ে গলদা চিংড়ি
norway rat,নরওয়ে ইঁদুর
norway spruce,নরওয়ে ফিটফাট
norwegian krone,নরওয়েজিয়ান ক্রোন
norwegian lobster,নরওয়েবাসী গলদা চিংড়ি
norwegian sea,নরওয়েবাসী সাগর
nose about,সম্পর্কে নাক
nose ache,নাকে ব্যাথা
nose around,নাকের চারপাশে
nose bleeding,নাক রক্তপাত
nose candy,নাক ক্যান্ডি
nose cone,নাক শঙ্কু
nose count,নাক গননা
nose dive,নাক ডুব
nose drops,নাক ঝরিয়া
nose flute,নাক বাঁশি
nose geographic,নাক ভৌগলিক
nose job,নাক পেশা
nose key,নাক কী
nose leaf,নাক পাতা
nose out,উঁকি ঝুঁকি মারা
nose pipe,নাক পাইপ
nose rag,রূমাল
nose ring,নাকের নোলক
nose wheel,নাক চাকা
nosegay tree,তোড়া গাছ
nosy parker,ধান্দাবাজ লোক
not abstract,সারাংশ না
not adroit,অকুশল
not airtight,বায়ুরোধী না
not anticipated,অপ্রত্যাশিত
not bad,খারাপ না
not binding,বাঁধাই করবেন
not calm,অসৌম্য
not conceited,নিরভিমান
not contrary,অবিসন্বাদী
not corrupted,অদূষিত
not criminally,না ফৌজদারি বিধি অনুযায়ী
not current,অচলিত
not deep,অগভীর
not defiled,অদূষিত
not delayed,অবিলম্বিত
not devoted,অভক্ত
not eating,খাচ্ছি না
not equals,সমান নয়
not ever,না কি
not exceeding,অনধিক
not excessive,অনতি
not far,অদুরে
not finishing,শেষ না
not free,অবসর না
not fresh,তাজা নয়
not guilty,অকৃতাপরাধ
not happened,অভূত
not intoxicated,অমত্ত
not intrusive,অনধিকারমূলক না
not likely,একেবারে অসম্ভব
not little,অনল্প
not many,অল্পস্বল্প
not marked,চিহ্নিত করা
not miserly,অকৃপণ
not much,বেশি না
not naked,অনগ্ন
not necessarily,অগত্যা
not opposing,অবিসন্বাদী
not partake,অংশগ্রহণ না
not polluted,অদূষিত
not present,অবিদ্যমান
not proud,নিরহঙ্কার
not provided,প্রদান করা হয়নি
not realizing,বুঝতে না
not receiving,পাচ্ছেন না
not responding,নিসাড়
not skilful,অকুশল
not skillful,অকুশল
not slender,অতনু
not superfluous,অনতি
not surprised,বিস্মিত না
not terrible,অঘোর
not transferable,অ-হস্তান্তরযোগ্য
not until,না হওয়া পর্যন্ত
not watertight,জলরোধক না
not withstanding,না বললেই নয়
nota bene,দ্রষ্টব্য
notary public,নোটারি পাবলিক
notary ship,নোটারি জাহাজ
notational system,নতুন প্রতীকের সিস্টেম
notch block,খাঁজ ব্লক
note broker,নোট দালাল
note down,টুকে রাখ
note paper,নোট কাগজ
note payable,প্রদেয় নোট
note receivable,প্রাপ্য নোট
note shaver,নোট শেভার
note sheet,মন্তব্য পত্র
note value,নোট মূল্য
notebook computer,নোটবুক কম্পিউটার
noted doctor,উল্লেখযোগ্য ডাক্তার
notes currency,পত্রমুদ্রা
nothing but,শুধু
nothing else,অন্য কিছুই না
nothing like,এরকম না
nothing off,কিছুই বন্ধ
notice board,বিজ্ঞপ্তি ফলক
notice book,বিজ্ঞপ্তি বই
noticeable effect,চোখে পড়ার প্রভাব
notified authority,প্রজ্ঞাপিত কতৃপক্ষ
notify of,অবহিত
notions counter,ধারণার মোকাবেলায়
notre dame,নটরডেম
notwithstanding that,যে থাকুক না কেন
nougat bar,চিনি বার
noun clause,বিশেষ্য ধারা
noun phrase,বিশেষ্য ফ্রেজ
nouveau riche,হঠাৎ নবাব
nouvelle vague,নবতরঙ্গ
nova scotia,নোভা স্কটিয়া
novel writer,উপন্যাস লেখক
novelty shop,নতুনত্ব দোকান
novelty siding,নতুনত্ব পক্ষাবলম্বন
novice hood,ব্রতী ফণা
novitiate ship,ব্রতীর জাহাজ
now that,এবার যে
no-win situation,নো জয় পরিস্থিতির
nubian desert,নুবিয়ান মরুভূমি
nuclear arsenal,পারমাণবিক অস্ত্রাগার
nuclear bomb,পরমাণু বোমা
nuclear cataract,পারমাণবিক ছানি
nuclear chemist,পারমাণবিক রসায়নবিদ
nuclear chemistry,পারমাণবিক রসায়ন
nuclear club,পারমাণবিক ক্লাব
nuclear energy,পারমাণবিক শক্তি
nuclear engineering,পারমাণবিক প্রকৌশল
nuclear explosion,পারমাণবিক বিস্ফোরণ
nuclear family,অণু পরিবার
nuclear fission,কেন্দ্রকীয় বিদারণ
nuclear fuel,পারমাণবিক জ্বালানী
nuclear fusion,কেন্দ্রকীয় সংযোজন
nuclear medicine,পারমাণবিক ঔষধ
nuclear meltdown,পারমাণবিক মেল্টডাউন
nuclear physicist,পারমাণবিক পদার্থবিদ
nuclear physics,পারমাণবিক পদার্থবিদ্যা
nuclear power,পারমাণবিক শক্তি
nuclear propulsion,পারমাণবিক পরিচালনা
nuclear reaction,পারমাণবিক বিক্রিয়া
nuclear reactor,পারমানবিক চুল্লী
nuclear resonance,পারমাণবিক অনুরণন
nuclear rna,পারমাণবিক আরএনএ
nuclear rocket,পারমাণবিক রকেট
nuclear terrorism,পারমাণবিক সন্ত্রাস
nuclear warhead,পারমাণবিক ওয়ারহেড
nuclear weapon,পারমাণবিক অস্ত্র
nuclear weapons,পারমানবিক অস্ত্র
nuclear winter,পারমাণবিক শীতকালীন
nuclear transplantation,পারমাণবিক প্রতিস্থাপনের
nuclear-powered ship,পারমাণবিক ক্ষমতাপ্রাপ্ত জাহাজ
nuclear-powered submarine,পারমাণবিক ক্ষমতাপ্রাপ্ত সাবমেরিন
nucleic acid,নিউক্লিক এসিড
nucleon number,নিউক্লিয়ন সংখ্যা
nucleus niger,নিউক্লিয়াস নাইজার
nude dancing,নগ্ন নৃত্য
nude mouse,নগ্ন মাউস
nude painting,নগ্ন পেইন্টিং
nude person,নগ্ন ব্যক্তি
nude sculpture,নগ্ন ভাস্কর্য
nude statue,নগ্ন মূর্তি
nudum pactum,উলঙ্গ চুক্তি
nuisance abatement,উত্পাত উপশম
nuisance tax,উত্পাত কর
nuisance value,উত্পাত মূল্য
null method,নাল পদ্ধতি
null set,নাল সেট
null space,নাল স্থান
number agreement,সংখ্যা চুক্তি
number crunching,ক্রান্চিং সংখ্যা
number one,এক নম্বর
number plate,নাম্বার প্লেট
number system,সংখ্যা সিস্টেম
number theorist,সংখ্যা তত্ত্ব প্রদানকারী
number ticket,সংখ্যা টিকেট
numbers game,সংখ্যার খেলা
numbers pool,নম্বর পুল
numbers racket,সংখ্যার কোলাহল
numdah rug,নম্না কম্বল
numeration system,সংখ্যান সিস্টেম
numerical analysis,সাংখ্যিক বিশ্লেষণ
numerical index,সংখ্যাগত সূচী
numerical quantity,সংখ্যাগত পরিমাণ
numerical strength,সংখ্যাগত শক্তি
numerical value,সংখ্যাগত মান
numskull redness,বুদ্ধু লালভাব
nun buoy,বয়া
nun moth,ভিক্ষুণী মথ
nun's habit,নূনের এর অভ্যাস
nun's veiling,গামছা
nurse cell,নার্স সেল
nurse child,নার্স শিশু
nurse clinician,নার্স ডাক্তারকে
nurse log,নার্সের লগ
nurse mother,নার্স মা
nurse practitioner,নার্স বৃত্তিক
nurse shark,নার্স হাঙ্গর
nurse tree,নার্স গাছ
nurse-patient relation,নার্স রোগীর সম্পর্ক
nursery garden,নার্সারি বাগান
nursery maid,নার্সারি দাসী
nursery maids,নার্সারি গৃহকর্মী
nursery nurse,নার্সারি নার্স
nursery rhyme,শিশুদের কবিতা
nursery school,শিশুবিদ্যালয়
nursery stock,নার্সারি স্টক
nursery tale,নার্সারি কাহিনী
nurse's aide,নার্স এর সহায়তাকারী
nursing aide,নার্সিং সহায়তাকারী
nursing bottle,শিশুর বোতাল
nursing care,নার্সিং কেয়ার
nursing home,নার্সিং হোম
nursing school,নার্সিং স্কুল
nursing sister,শুশ্রুষাকারিণী
nursing staff,নার্সিং স্টাফ
nut bar,বাদাম বার
nut bread,বাদাম পাউরুটি
nut brown,বাদাম বাদামী
nut butter,বাদাম মাখন
nut dash,বাদাম ড্যাশ
nut grass,বাদাম ঘাস
nut house,পাগলা গারদ
nut oil,বাদাম তৈল
nut picker,বাদাম বাছাইকারী
nut picks,বাদাম অকার্যকর
nut pine,নাটপাইন
nut rush,বাদাম ভিড়ের
nut tree,বাদাম গাছ
nutmeg family,জায়ফল পরিবার
nutmeg flower,জায়ফল ফুল
nutmeg geranium,জায়ফল আকৃতির ফল দেয়
nutmeg hickory,জায়ফল আমেরিকার শক্ত কাঠের গাছবিশেষ
nutmeg liver,জায়ফল লিভার
nutmeg melon,জায়ফল তরমুজ
nutmeg state,জায়ফল রাষ্ট্র
nutmeg tree,জায়ফল বৃক্ষ
nutrient artery,পুষ্টির ধমনী
nutrient ratio,পুষ্টির অনুপাত
nutritional value,পুষ্টিগুণ
nutritionist's calorie,পুষ্টিবিজ্ঞানী এর ক্যালোরি
nux vomica,কুচিলা ফল বা গাছ যা থেকে স্ত্রিকনিন পাওয়া যায়
nylon stocking,নাইলনের মোজা
nymph pink,জলপরী গোলাপী
nymph wise,জ্ঞানী জলপরী
o level,হে স্তর
o ring,হে রিং
oak apple,ওক আপেল
oak bark,ওক গাছের ছাল
oak beauty,ওক সৌন্দর্য
oak brown,ওক বাদামী
oak button,ওক বোতাম
oak canker,ওক কীট
oak chestnut,ওক বাদামী
oak crown,ওক মুকুট
oak family,ওক পরিবার
oak fly,ওক মাছি
oak gall,ওক পিত্ত
oak green,ওক সবুজ
oak leaf,ওক্ গাছের পাতা
oak leather,ওক চামড়া
oak moss,ওক শৈবাল
oak nut,ওক বাদাম
oak thistle,ওক কাঁটাগাছ
oak tree,ওক গাছ
oak veneer,ওক ব্যহ্যাবরণ
oak-leaf cluster,ওক গাছের পাতা ক্লাস্টার
oat bread,যবের পাউরুটি
oat cleanser,যবের শুদ্ধিকারক
oat field,যবের ক্ষেত্র
oat flour,জবের
oat grass,যবের ঘাস
oat grinder,যবের পেষকদন্ত
oat hay,যবের খড়
oat kiln,যবের ভাটি
oat mill,যবের মিল
oat seed,যবের বীজ
oat thistle,যবের কাঁটাগাছ
oat thresher,যবের মাড়াই
oath purgatory,শপথ যন্ত্রণাভোগ
oath-taking ceremony,শপথগ্রহণ অনুষ্ঠান
oatmeal cookie,ওটমিল কুকি
obedience plant,বাধ্যতা উদ্ভিদ
obedient plant,আজ্ঞাবহ উদ্ভিদ
obesity diet,স্থূলতা খাদ্য
obiter dictum,প্রসঙ্গক্রমে
object ball,বস্তুর বল
object code,অবজেক্ট কোড
object glass,লেন্স
object language,বস্তু ভাষা
object lens,বস্তুর লেন্স
object lesson,মূল শিক্ষা
object love,বস্তুকাম
object matter,বস্তু ব্যাপার
object point,লক্ষ্যবস্তু
object program,বস্তুর প্রোগ্রাম
object recognition,বস্তুর স্বীকৃতি
object space,বস্তুর স্থান
object speculum,বস্তুর আয়না
object staff,বস্তুর কর্মী
object teaching,বস্তুর শিক্ষাদান
object to,আপত্তি করা
objectionable relationship,আপত্তিকর সম্পর্ক
objective case,উদ্দেশ্য ক্ষেত্রে
objective lens,উদ্দেশ্য লেন্স
object-oriented programing,অবজেক্ট ওরিয়েন্টেড প্রোগ্রামিংয়ের
object-oriented programming,অবজেক্ট ওরিয়েন্টেড প্রোগ্রামিং
objet d'art,বস্তু সম্মানের শিল্প
obligate anaerobe,অক্সিজেন না পাইয়াত্ত বাঁচিতে দায়বদ্ধ
oblige to,বাধিত করা
oblique angle,অসমকোণ
oblique bandage,তেরছা ব্যাণ্ডেজ
oblique case,তেরছা ক্ষেত্রে
oblique line,তেরছা রেখা
oblique stroke,তেরছা রেখা
oblique triangle,তেরছা ত্রিভুজ
oblong leaf,আয়তাকার পাতার
obscene talk,কুকথা
obscene utterance,কদুক্তি
observation dome,পর্যবেক্ষণ গম্বুজ
observation platform,পর্যবেক্ষণ প্ল্যাটফর্ম
observation post,পর্যবেক্ষণ পোস্ট
